pub_date	title	venue	excerpt	citation	url_slug	paper_url
2024/3/4	日本語不法行為事件データセットの構築	言語処理学会第30回年次大会発表論文集	"本研究は日本語・日本法における法的判断予測研究のためのデータセットである，日本語不法行為事件データセット(JapaneseTort-case Dataset, JTD) を提案する．JTDは不法行為判断予測タスク及びその根拠抽出タスク向けに設計されている．根拠抽出タスクは不法行為の成否判断に際して重要な根拠となった主張を，原告または被告の主張の中から抽出するタスクである．JTDには41人の法律専門家によって注釈付けされた3,477件の民事事件判決書に基づいて構築されており，7,978事例（事例に内包される原告・被告らの主張は59,697事例）が収録されている．ベースライン実験によりJTDの各タスクの実現可能性を確認し，さらに不法行為判断予測・根拠抽出の両タスクを同時に学習させることで性能が改善することを示した．"	"山田寛章, 徳永健伸, 小原隆太郎, 得津晶, 竹下啓介, 角田美穂子. 日本語不法行為事件データセットの構築. <i>言語処理学会第30回年次大会発表論文集</i>, pp. 1045-1050, 2024年3月."	anlp2024-5	https://www.anlp.jp/proceedings/annual_meeting/2024/pdf_dir/E4-2.pdf
2024/3/3	 複数文書要約を用いた事実性の検証	研究報告自然言語処理（NL）	"事実性検証の対象となる主張文章の中には複数の文章を情報源として参照し，複数段階の推論を経ることで初めて正しい判定ができる主張文章が存在する．本研究ではこのような主張文章に適した事実性検証の仕組みとして，要約-判定アーキテクチャを提案する．提案手法では，1 段階目に情報源として与えられた複数の文書の中から主張文章を支持する部分を複数文書要約し，2 段階目では生成した要約を用いて主張文章の事実性判定を行う．1 段階目で情報源の文書を短く要約することにより，主張文章の判定で大規模言語モデルの推論能力を有効活用することを狙う．提案手法の性能を HoVerデータセットを用いて評価したところ，従来のアプローチを超える性能を達成した．"	"伊藤悠馬, 山田寛章, 徳永健伸. 複数文書要約を用いた事実性の検証. <i>研究報告自然言語処理（NL）</i>, Volume 2024-NL-259, Issue 17, pp. 1-9, 2024年3月."	nl2024-1	http://id.nii.ac.jp/1001/00232766/
2024/6/11	 不法行為判断予測データセット構築におけるELSI課題	第38回人工知能学会全国大会論文集	"我々は，近時，法律分野へのAI応用研究の一大領域となっている司法判断予測(Legal Judgement Prediction)研究のためのデータセットである，日本語不法行為事件データセット(Japanese Tort-case Dataset, JTD)を構築した．JTDには41人の法律専門家によって注釈付けされた3,477件の民事事件判決書に基づいて構築されており，7,978事例（事例に内包される原告・被告らの主張は59,697件）が収録されている．JTDは判決書という法律分野のデータを扱うことから，司法判断に関わる予測を計算機で行うことの是非，構築したデータセットに潜在するバイアスはもとより，判決データのオープンデータ化が未だ審議中というわが国特有の事情ゆえに，多様な社会的課題を検討しながら構築する必要があった．とりわけ，判決書のような多くのステークホルダーの利害に関係し得るデータを扱うデータセットを他の研究者と共有する環境は未だ十分整備されているとは言い難い．そこで，本稿では，今後の議論の深化に貢献すべく，構築時に検討した諸課題を報告する．"	"山田寛章, 小原隆太郎, 角田美穂子. 不法行為判断予測データセット構築におけるELSI課題, <i>人工知能学会全国大会論文集</i>, Volume JSAI2024, 第38回 (2024), Online ISSN 2758-7347 2024年5月."	jsai2024-1	https://doi.org/10.11517/pjsai.JSAI2024.0_3K1OS2a02
2025/3/14	言語で柔軟に操作可能なWhat-if社会シミュレータ	人工知能学会第二種研究会資料 2025 (BI-026)	社会シミュレーション研究において、一人一人の個性のような異質性を再現し、対話のような複雑な相互作用を再現することは、重要な関心事でありつづけてきたが、実装があまりに高コストであるためその詳細に踏み込まれることは少なかった。しかし、大規模言語モデルが、広汎な状況における対話をパーソナリティで条件付けて再現できることを示したことで、人々の異質性と相互作用を詳細にモデル化できる可能性が出てきた。本発表では、大規模言語モデルを社会シミュレーションに応用する既存研究を整理した上で、その課題が大規模言語モデルの振る舞いを特定の人間や社会状況を再現するよう調整する枠組みの不在にあることを指摘する。以上を踏まえ我々が取り組む、大規模言語モデルをキャリブレーションする方法について論じる。	山田 広明, 山田 寛章, 平岡 達也. 言語で柔軟に操作可能なWhat-if社会シミュレータ. <i>人工知能学会第二種研究会資料</i>, 2025 (BI-026), 2025年3月.	jsai-bi-2025-1	https://doi.org/10.11517/jsaisigtwo.2025.BI-026_11
2025/3/11	Evaluating Robustness of LLMs to Numerical Variations in Mathematical Reasoning	言語処理学会第31回年次大会発表論文集	Evaluating an LLM’s robustness against numerical perturbation is a good way to know if the LLM actually performs reasoning or just replicates patterns learned. We propose a novel method to augment math word problems (MWPs), producing numerical variations at a large scale utilizing templates. We also propose an automated error classification framework for scalable error analysis, distinguishing calculation errors from reasoning errors. Our experiments using the methods show LLMs are weak against numerical variations, suggesting they are not fully capable of generating valid reasoning steps, often failing in arithmetic operations.	Yang Yuli，山田寛章，徳永健伸. Evaluating Robustness of LLMs to Numerical Variations in Mathematical Reasoning. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 851-856，2025年3月.	anlp2025-1	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/Q2-20.pdf
2025/3/11	自動アノテーションを導入したG-Evalによる英文要約課題評価	言語処理学会第31回年次大会発表論文集	英語学習者向け英文要約課題の自動評価のため，大規模言語モデル (LLM) を活用し，要約の内容に基づいた評価を実現する新たな手法を提案する．本研究では，Few-shot 学習，採点基準の自動展開，要約内の重要な概念や表現の自動アノテーションを組み合わせることで，要約内容に関する質の高い評価を可能にした．	藤田晃輔，山田寛章，徳永健伸，石井雄隆，澤木泰代. 自動アノテーションを導入したG-Evalによる英文要約課題評価. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 1056-1061，2025年3月.	anlp2025-2	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/P3-2.pdf
2025/3/11	言語モデルを用いた看護師国家試験問題の誤答選択肢自動生成	言語処理学会第31回年次大会発表論文集	本研究では，看護師国家試験問題における誤答選択肢の自動生成に大規模言語モデルを活用する．生成には日本語大規模言語モデルと，API を通じて利用可能なモデルをそれぞれ複数用い，過去の試験や予備校の模擬試験の問題をデータセットとして出力の制御を行う．生成した誤答選択肢を選択肢候補として看護師国家試験問題作成経験者に提示し，実際の問題作成における負担軽減や効率改善への寄与を分析した．その結果，大規模言語モデルによる誤答選択肢は有用であり，作問作業の効率改善の可能性が示された．	城戸祐世，山田寛章，徳永健伸，木村理加，三浦友理子，佐居由美，林直子. 言語モデルを用いた看護師国家試験問題の誤答選択肢自動生成. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 1074-1079，2025年3月.	anlp2025-3	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/P3-5.pdf
2025/3/11	LoRAを活用した言語モデルの中間層蒸留	言語処理学会第31回年次大会発表論文集	近年，言語モデルの巨大化により，計算コストが大きく増加したため，性能を保ちつつモデルのパラメータ数を削減する手法が求められている．その一つに知識蒸留があり，中間層蒸留はその一種である．モデルの中間層出力も損失関数の計算に用いる中間層蒸留は有効とされてきたが，線形写像を推論時に用いないため，学習の効果が保証されない問題があった．本研究では，中間層蒸留の線形写像を LoRA のアダプターで代替し，推論時に除かれない線形写像を実現した LoRAILD を提案し，実験を行った．その結果，中間層蒸留の効果に対する否定的な結果を得た．	鈴木偉士，山田寛章，徳永健伸. LoRAを活用した言語モデルの中間層蒸留. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 1644-1649，2025年3月.	anlp2025-4	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/Q4-7.pdf
2025/3/13	思考発話を利用した個人の発話及び性格特性再現	言語処理学会第31回年次大会発表論文集	本研究は，思考発話を付与した対話データを用いてファインチューニングを行うことで，個人の発話及び性格特性を再現する手法を提案する．具体的には，LLM を用いて既存の対話データセットに対して対象人物の思考発話を付与する．そして，そのデータを用いてモデルを訓練することで，対象人物の話し方や感情，思考を再現する．著名人・著名キャラクターの再現に焦点を当てた先行研究に比べて，本研究は多様な特性を持つ個人の発話と性格特性を再現できる可能性を示した．	石倉誠也， 山田寛章， 平岡達也， 山田広明， 徳永健伸. 思考発話を利用した個人の発話及び性格特性再現. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 4155-4160，2025年3月.	anlp2025-5	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/P10-20.pdf
2025/3/12	判決書要約文の自動評価	言語処理学会第31回年次大会発表論文集	一般の文書要約で使われている ROUGE などの自動評価指標は判決書自動要約タスクでも使われている．しかし既存の自動評価指標では判決書要約文に不可欠な要素が，要約文に含まれているかを評価することができない．本研究では，判決書要約文に特化した評価ルーブリックを策定し，それに基づいて法律の専門家による人手評価を行う．そして，その評価データを利用して判決書要約文に特化した自動評価器を構築する．構築した評価器をカッパ係数で評価し，自動評価器と正解データとの一致度が人手評価者の間の一致度を部分的に上回ることを示す．	新保彰人，山田寛章，徳永健伸. 判決書要約文の自動評価. <i>言語処理学会第31回年次大会発表論文集</i>, pp. 1974-1979，2025年3月.	anlp2025-6	https://www.anlp.jp/proceedings/annual_meeting/2025/pdf_dir/P5-10.pdf
